t,nodes,edges,degre_moyen,taille_composante_geante,longueur_moyenne_chemins,coefficient_clustering,efficacite_globale,efficacite_locale,scenario
6,95,1961,37.873684210526314,1.0,1.8721164613661814,0.7408108897171112,0.6622604383298571,0.8558768215898512,panne_aleatoire
7,94,1955,37.08510638297872,1.0,1.8833218943033632,0.7396518686907908,0.659199158958928,0.8551386786342882,panne_aleatoire
8,93,1955,36.45161290322581,1.0,1.8828892005610098,0.7375985819669278,0.6580901177675261,0.8545151936235809,panne_aleatoire
9,92,1951,35.78260869565217,1.0,1.8889154323936932,0.7326185204081391,0.6562413259618127,0.8517952526892979,panne_aleatoire
10,91,1950,35.40659340659341,1.0,1.886935286935287,0.7330645446570413,0.6565916623059392,0.8521121696088946,panne_aleatoire
11,90,1937,34.51111111111111,1.0,1.8991260923845195,0.7309145466180615,0.652857142857135,0.8508792976994608,panne_aleatoire
12,89,1931,34.359550561797754,1.0,1.8950459652706844,0.7310174890169584,0.6545649107446784,0.8506710096807455,panne_aleatoire
13,88,1927,33.5,1.0,1.9051724137931034,0.7285913700636286,0.6511954520575133,0.8492840682053139,panne_aleatoire
14,87,1923,33.42528735632184,1.0,1.8970863405506548,0.7288513829384218,0.653611206578323,0.84926257208104,panne_aleatoire
15,86,1924,33.27906976744186,1.0,1.8927496580027359,0.7280248355210328,0.655369682756822,0.8486961577635849,panne_aleatoire
16,85,1919,32.870588235294115,1.0,1.8969187675070027,0.7287925472344315,0.6547272242230224,0.8488840442045475,panne_aleatoire
17,84,1919,32.595238095238095,1.0,1.8941480206540446,0.7299702842547069,0.6555343824276716,0.8493131466017937,panne_aleatoire
18,83,1919,32.48192771084337,1.0,1.8900969732588893,0.7343898967114204,0.657432517526557,0.851235583615659,panne_aleatoire
19,82,1910,31.70731707317073,1.0,1.8991267690454683,0.7334240090161992,0.6544693939002948,0.8505435144737292,panne_aleatoire
20,81,1897,31.037037037037038,1.0,1.9064814814814814,0.7312939515352992,0.6522354497354572,0.84926890783353,panne_aleatoire
21,80,1880,30.2,1.0,1.918987341772152,0.729485094610405,0.6484418324291836,0.8481445757849227,panne_aleatoire
22,79,1870,29.89873417721519,1.0,1.925673482635508,0.7295804028776249,0.6479204339963924,0.8479800529038192,panne_aleatoire
23,78,1864,29.41025641025641,1.0,1.9350649350649352,0.7303766720673613,0.6464012178297974,0.8481588756425458,panne_aleatoire
